consola,genero,lanzamiento,titulo,upc
PS3,Musical,NO CONFIRMADO,ROCKSMITH WITH BASS,008888347606-0-00000-0
360,Deportes,NO CONFIRMADO,NIKE KINECT TRAINING,885370430141-0-00000-0
360,Disparos,16/10/2012,007 LEGENDS,047875844681-0-00000-0
PS3,Disparos,16/10/2012,007 LEGENDS,047875844667-0-00000-0
3DS,Aventura,NO CONFIRMADO,WRECKIT RALPH,047875769755-0-00000-0
NDS,Aventura,30/10/2012,WRECKIT RALPH,047875769731-0-00000-0
WII,Aventura,NO CONFIRMADO,WRECKIT RALPH,047875769717-0-00000-0
NDS,Accion,25/09/2012,THUNDERCATS,722674700412-0-00000-0
PSV,Vehiculos,NO CONFIRMADO,NEED FOR SPEED MOST WANTED,014633197488-0-00000-0
WII,Deportes,25/09/2012,WWE 13,785138305752-0-00000-0
360,Peleas,NO CONFIRMADO,DRAGON BALL Z BUDOKAI HD COLLECTION,722674210836-0-00000-0
PS3,Peleas,NO CONFIRMADO,DRAGON BALL Z BUDOKAI HD COLLECTION,722674110846-0-00000-0
WII,Aventura,25/09/2012,DISNEY PRINCESS MY FAIRYTALE ADVENTURE,7509656071127-0-00000-0
3DS,Aventura,NO CONFIRMADO,DISNEY PRINCESS MY FAIRYTALE ADVENTURE,7509656071110-0-00000-0
360,Accion,09/10/2012,ROCKSTAR GAMES COLLECTION EDITION 1,710425492280-0-00000-0
PS3,Accion,NO CONFIRMADO,ROCKSTAR GAMES COLLECTION EDITION 1,710425472299-0-00000-0
360,Deportes,18/09/2012,KINECT SPORTS ULTIMATE COLLECTION,885370429770-0-00000-0
360,Vehiculos,23/10/2012,FORZA HORIZON LIMITED EDITION,885370429657-0-00000-0
NDS,Rol/Estrategia/Destreza,14/08/2012,MAMA'S COMBO PACK VOL. 2,096427017974-0-00000-0
NDS,Rol/Estrategia/Destreza,NO CONFIRMADO,MAMA'S COMBO PACK VOL. 1,096427017967-1-00000-0
WII,Rol/Estrategia/Destreza,14/08/2012,COOKING MAMA 2 PACK,096427017981-0-00000-0
PS3,Accion,NO CONFIRMADO,NARUTO SHIPPUDEN ULTIMATE NINJA STORM GENERATIONS,722674110532-0-00000-0
360,Deportes,24/07/2012,NCAA FOOTBALL 2013,014633197303-0-00000-0
PS3,Deportes,24/07/2012,NCAA FOOTBALL 2013,014633197310-0-00000-0
PS3,Accion,NO CONFIRMADO,METAL GEAR SOLID HD COLLECTION,083717202417-0-00000-0
NDS,Musical,10/07/2012,ICE AGE CONTINENTAL DRIF ARTIC GAMES,047875769281-0-00000-0
360,Accion,NO CONFIRMADO,DEAD RISING 2 LATAM 360,013388330201-0-00000-0
PS3,Accion,15/11/2011,ASSASSIN S CREED REVELATIONS,008888346845-0-00000-0
NDS,Aventura,01/01/2006,CRASH BOOM BANG,020626725002-0-00000-0
NDS,Vehiculos,12/05/2009,NEED FOR SPEED PROSTREET,014633157420-0-00000-0
360,Deportes,01/01/2006,MADDEN NFL 08,014633155686-0-00000-0
360,Peleas,NO CONFIRMADO,FACEBREAKER,014633155532-0-00000-0
360,Rol/Estrategia/Destreza,03/01/2012,FAMILY FEUD 2012,008888526995-0-00000-0
WII,Deportes,12/05/2009,MADDEN 09,014633155457-0-00000-0
WII,Disparos,NO CONFIRMADO,MEDAL OF HONOR VANGUARD,014633152883-0-00000-0
PS3,Deportes,NO CONFIRMADO,MADDEN 07,014633152470-0-00000-0
PSP,Deportes,01/01/2006,NASCAR 07 CHASE FOR THE CHASE FOR THE CUP,014633152197-0-00000-0
360,Vehiculos,01/01/2006,BURNOUT REVENGE,014633151442-0-00000-0
PSP,Simulacion,01/01/2006,THE SIMS 2,014633151312-0-00000-0
PSP,Peleas,01/01/2006,MARVEL NEMESIS:RISE OF THE IMPERFECTS,014633151008-0-00000-0
PSP,Deportes,01/01/2006,FIFA SOCCER 06,014633149920-0-00000-0
360,Disparos,01/01/2006,GODFATHER THE GAME,014633149784-0-00000-0
WII,Disparos,01/01/2006,RESIDENT EVIL ARCHIVES ZE,013388350186-0-00000-0
NDS,Otros,03/01/2012,PEZT BUNNYZ BUNCH,008888166511-0-00000-0
360,Vehiculos,NO CONFIRMADO,ARMORED CORE 4,010086680126-0-00000-0
NDS,Musical,10/07/2012,GUITAR HERO DECADES,047875955394-0-00000-0
WII,Aventura,01/01/2006,INCREDIBLE HULK,010086650129-0-00000-0
360,Accion,NO CONFIRMADO,NARUTO SHIPPUDEN ULTIMATE NINJA STORM GENERATIONS,722674210546-0-00000-0
360,Peleas,15/11/2011,ULTIMATE MARVEL VS CAPCOM 3,013388330522-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,ARMORED CORE FOR ANSWER,008888524625-0-00000-0
360,Aventura,01/01/2006,TMNT,008888523413-0-00000-0
360,Accion,01/01/2006,PETER J. KING KONG,008888522812-0-00000-0
PS3,Vehiculos,01/01/2006,BLAZING ANGELS 2 SMG WW2,008888343493-0-00000-0
WII,Musical,NO CONFIRMADO,KARAOKE REVOLUTION GLEE VOL 3,083717401261-0-00000-0
WII,Accion,01/01/2006,PRINCE OF PERSIA RIVAL SW,008888173519-0-00000-0
WII,Vehiculos,NO CONFIRMADO,DRIVER PARALLEL LINES,008888173489-0-00000-0
WII,Disparos,11/05/2009,FAR CRY VENGANCE,008888171614-0-00000-0
WII,Aventura,01/01/2006,ICE AGE 2 THE MELTDOWN,020626726320-0-00000-0
WII,Aventura,01/01/2006,BEN 10,879278340008-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,SWAT TARGET LIBERTY,020626727198-0-00000-0
360,Aventura,01/01/2006,CRASH BANDICOOT: MIND OVER MUTANT,020626727587-0-00000-0
360,Peleas,01/01/2006,ONECHANBARA BIKINI SAMS,879278210066-0-00000-0
WII,Aventura,09/10/2007,THE ANT BULLY,031719191703-0-00000-0
360,Peleas,01/01/2006,MORLTAL KOMBAT VS DC UNIVERSE COLLECTORS EDITION,031719901043-0-00000-0
PSP,Vehiculos,01/01/2006,PIMP MY RIDE,047875753013-0-00000-0
360,Accion,01/01/2006,TOMB RAIDER ANNIVERSARY,788687200530-0-00000-0
360,Disparos,01/01/2006,CALL OF DUTY 2,047875809376-0-00000-0
NDS,Accion,08/05/2009,AVATAR: BURNING EARTH,785138361338-0-00000-0
XBX,Disparos,01/01/2006,GUN.-XBX,047875809659-0-00000-0
360,Disparos,NO CONFIRMADO,ARMY OF TWO THE 40 TH DAY,014633157130-1-00002-3
360,Disparos,01/01/2006,GUN,047875809697-0-00000-0
PS2,Peleas,01/01/2006,SHREK SUPER SLAM,047875809772-0-00000-0
360,Disparos,01/01/2006,CALL OF DUTY 3,047875816312-0-00000-0
PSP,Aventura,01/01/2006,SHREK III,047875819474-0-00000-0
PS3,Accion,01/01/2006,TRANSFORMERS: THE GAME,047875819733-0-00000-0
PSP,Disparos,01/01/2006,SPIDERMAN 3 THE MOVIE,047875819993-0-00000-0
360,Aventura,01/01/2006,MARVEL ULTIMATE ALLIANCE GOLD EDITION,047875821316-0-00000-0
NDS,Aventura,05/06/2009,SHREK 3 OGRES &amp; DRONKEYS,047875832299-0-00000-0
PSP,Aventura,01/01/2006,SPIDER-MAN WEB OF SHADOWS,047875832978-0-00000-0
PS2,Accion,01/01/2006,TRANFORMERS 2: REVENGE OF THE FALLEN,047875836679-0-00000-0
PS2,Rol/Estrategia/Destreza,01/01/2006,YU-GI-OH CAPSULE MONSTER COLISEUM,083717201199-0-00000-0
PSP,Accion,01/01/2006,DEATH JR,083717260011-0-00000-0
PSP,Deportes,01/01/2006,WINNING ELEVEN 9,083717260097-0-00000-0
PSP,Vehiculos,01/01/2006,STREET SUPREMACY,083717260134-0-00000-0
XBX,Deportes,01/01/2006,WINNING ELEVEN 8.-XBX,083717300434-0-00000-0
WII,Vehiculos,01/01/2006,GTI CLUB SUPERMINI FIESTA.-WII,083717401018-0-00000-0
NDS,Vehiculos,01/01/2006,DUCATI MOTO.-NDS,093155126404-0-00000-0
NDS,Aventura,01/01/2006,A BOY AND HIS BLOB.-NDS,096427014393-0-00000-0
NDS,Rol/Estrategia/Destreza,11/05/2009,TURN IT AROUND,096427014881-0-00000-0
NDS,Simulacion,01/01/2006,LITTLEST PET SHOP FRIENDS BEACH,14633192131-0-00000-0
PSP,Vehiculos,01/01/2006,CRASH TAG TEAM RACING,3348542180178-0-00000-0
NDS,Simulacion,01/01/2006,LITTLEST PET SHOP GARDEN,5030934067256-0-00000-0
PSP,Accion,11/05/2009,LOS SIMPSONS GAME,5030934068765-0-00000-0
PS2,Accion,01/01/2006,GRAND THEFT AUTO 3,710425270796-0-00000-0
PS2,Deportes,01/01/2006,MOTOCROSS MANIA 3,710425275302-0-00000-0
PS2,Aventura,01/01/2006,CHARLIE &amp; CHOCOLATE FACTORY,710425277153-0-00000-0
PS2,Accion,01/01/2006,GHOST RIDER,710425279737-0-00000-0
WII,Aventura,NO CONFIRMADO,AVATAR THE LAST AIRBENDER,785138301235-0-00000-0
360,Deportes,01/01/2006,AMPED 3,710425298820-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,ELDER SCROLLS 4 OBLIVION COLLECTORS EDITIONS,710425298974-0-00000-0
360,Vehiculos,01/01/2006,BAJA,752919550458-0-00000-0
PSP,Accion,01/01/2006,GHOST RIDER,710425330322-0-00000-0
PSP,Deportes,01/01/2006,WORLD TOUR SOCCER,711719861324-0-00000-0
NGC,Accion,01/01/2006,CHRONICLES OF NARNIA.-NGC,712725001711-0-00000-0
WII,Aventura,08/05/2009,MEET THE ROBINSONS,712725003586-0-00000-0
PS2,Peleas,01/01/2006,NARUTO ULTIMATE NINJA 2,722674100656-0-00000-0
WII,Deportes,01/01/2006,TOS:DAWN OF THE NEW WORLD.-WII,722674800082-0-00000-0
PSP,Aventura,01/01/2006,ATARI CLASSIC EVOLVED,742725276000-0-00000-0
WII,Peleas,01/01/2006,DBZ BUDOKAI TENKAICHI.-WII,742725274778-0-00000-0
WII,Peleas,01/01/2006,DRAGON BALL Z BUD.TENK. 3.-WII,742725275584-0-00000-0
PS2,Vehiculos,01/01/2006,FORD RACING 3,744788017712-0-00000-0
WII,Rol/Estrategia/Destreza,01/01/2006,TRAUMA CENTER SECOND OP,730865700011-0-00000-0
PS2,Aventura,01/01/2006,THE ADVENTURES OF JIMMY NEUTRON,752919460399-0-00000-0
PS2,Aventura,01/01/2006,POWER RANGERS DINO THUNDER,752919460566-0-00000-0
PS2,Deportes,01/01/2006,WORLD CHAMPIONSHIP PAINTBALL,752919461099-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,OBLIVION ELDER SCROLLS 4,710425392849-0-00000-0
PS2,Aventura,01/01/2006,RATATOUILLE,752919461105-0-00000-0
360,Aventura,NO CONFIRMADO,RATATOUILLE,752919550182-0-00000-0
PS3,Peleas,NO CONFIRMADO,WWE SMACKDOWN VS RAW 08,752919990230-0-00000-0
WII,Aventura,08/05/2009,RATATOULLIE,785138301266-0-00000-0
NDS,Aventura,01/01/2006,THE INCREDIBLES RISE OF T.-NDS,785138361079-0-00000-0
WII,Deportes,01/01/2006,PRO EVOLUTION SOCCER 2010.-WII,83717400929-0-00000-0
NDS,Disparos,01/01/2006,SPLINTER CELL CHAOS THEOR,008888152149-0-00000-0
NDS,Accion,01/01/2006,BTTLS OF PRINCE OF PERSIA,008888162858-0-00000-0
NDS,Aventura,01/01/2006,OPEN SEASON,008888163138-0-00000-0
PS3,Deportes,NO CONFIRMADO,COLLEGE HOOPS 2K8,710425373114-0-00000-0
NDS,Aventura,01/01/2006,SUPERMAN RETURNS,14633151824-0-00000-0
WII,Peleas,NO CONFIRMADO,CASTLEVANIA JUDGMENT,083717400776-0-00000-0
NDS,Aventura,28/11/2006,HAMSTERZ LIFE,008888163275-0-00000-0
NDS,Accion,11/05/2009,ASSASSINS CREED ALTAIR CHRONICLES,008888163398-0-00000-0
NDS,Aventura,11/05/2009,RAYMAN RAVING RABBIDS 2,008888163831-0-00000-0
NDS,Aventura,01/01/2006,NARUTO NINJA COUNCIL 3,053941703011-0-00000-0
PS3,Aventura,NO CONFIRMADO,KUNG FU PANDA,047875833739-0-00000-0
NDS,Simulacion,01/01/2006,IMAGINE FIGURE SKATER,008888163886-0-00000-0
NDS,Simulacion,01/01/2006,MI EXPERTO EN FRANC,008888164012-0-00000-0
NDS,Simulacion,01/01/2006,MI EXPERTO EN INGLES -NDS,008888164159-0-00000-0
360,Disparos,01/01/2006,STRANGLEHOLD COLLECTORS,031719900909-0-00000-0
360,Deportes,01/01/2006,NBA BALLERS,031719301010-0-00000-0
WII,Rol/Estrategia/Destreza,01/01/2006,PETZ DOGZ 2,008888173229-0-00000-0
WII,Vehiculos,01/01/2006,GT PRO SERIES,008888193234-0-00000-0
PSP,Disparos,01/01/2006,BROTHERS IN ARMS D-DAY,008888332619-0-00000-0
WII,Rol/Estrategia/Destreza,01/01/2006,GAME PARTY,031719191895-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,GO SODOKU,008888333098-0-00000-0
WII,Disparos,01/01/2006,MEDAL OF HONOR HEROES 2,014633155273-0-00000-0
PSP,Accion,01/01/2006,GODFATHER MOB WARS,014633149760-0-00000-0
360,Peleas,01/01/2006,MARVEL VS CAPCOM 3 COLLECTORS EDITION,013888330362-0-00000-0
WII,Accion,15/05/2010,MONSTER HUNTER TRI,013388350117-0-00000-0
PSP,Aventura,01/01/2006,MONSTER HUNTER FREEDOM,013388270064-0-00000-0
WII,Vehiculos,11/05/2009,NITROBIKE,008888173700-0-00000-0
360,Disparos,01/01/2006,GEARS OF WAR LIMITED EDITION,882224262712-0-00000-0
PS3,Deportes,NO CONFIRMADO,NBA 2K10,710425376382-0-00000-0
360,Disparos,01/01/2006,RAVEN SQUAD,896992000537-0-00000-0
WII,Peleas,01/01/2006,GUILTY GEAR XX ACCNT CORE,893610001068-0-00000-0
PSP,Aventura,01/01/2006,MERCURY MELTDOWN,893384000281-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,MERCURY,893384000274-0-00000-0
360,Accion,01/01/2006,JUMPER GRIFFIN`S STORY,890181002074-0-00000-0
WII,Aventura,NO CONFIRMADO,ALVIN AND THE CHIMPMUNKS,890181002029-0-00000-0
NDS,Musical,20/11/2009,LEGO ROCK BAND,883929077786-0-00000-0
PSP,Aventura,01/01/2006,SURFS UP,008888333555-0-00000-0
NDS,Vehiculos,01/01/2006,SPEED RACER VIDEOGAME,883929017171-0-00000-0
PS3,Vehiculos,01/01/2006,BLAZING ANGELS 2 SOWW2,008888342632-0-00000-0
PS3,Disparos,NO CONFIRMADO,SPLINTER CELL DOUBLE AGENT,008888342946-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,FABLE II COLLECTOR EDT,882224711425-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,ENCHANTED ARMS,008888343141-0-00000-0
360,Accion,NO CONFIRMADO,TENCHU Z,882224436106-0-00000-0
PS3,Disparos,30/06/2009,CALL OF JUAREZ BOUND IN BLOOD,008888345145-0-00000-0
PS3,Disparos,11/05/2009,RAINBOW SIX VEGAS 2 COLLECTORS EDITION,008888393955-0-00000-0
360,Disparos,01/01/2006,SHADOWRUN,882224355964-0-00000-0
PS3,Deportes,NO CONFIRMADO,SHAUNWHITE SNOWBOARDING,008888394303-0-00000-0
360,Disparos,01/01/2006,BLAZING ANGELS,008888522638-0-00000-0
360,Disparos,NO CONFIRMADO,TOM CLANCYS GHOST RECON ADVANCED WARFIGHTER,008888522805-0-00000-0
360,Vehiculos,NO CONFIRMADO,FORZA 2 STD. ED,882224318969-0-00000-0
360,Vehiculos,27/06/2006,OVER G FIGHTERS,008888523055-0-00000-0
360,Aventura,01/01/2006,RAYMAN RAVING RABBIDS,008888523192-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,FUZION FRENZY 2,882224303507-0-00000-0
360,Vehiculos,20/09/2007,BLAZING ANGELS 2 SECRET MISSIONS OF WWII,008888523499-0-00000-0
360,Aventura,01/01/2006,SURFS UP,008888523550-0-00000-0
360,Otros,01/01/2006,WARTECH SENKO NO RONDO,008888523604-0-00000-0
NDS,Rol/Estrategia/Destreza,NO CONFIRMADO,GALACTRIX PUZZLE QUEST,879278320093-0-00000-0
360,Accion,01/01/2006,WHEELMAN,008888525332-0-00000-0
360,Vehiculos,01/01/2006,TOM CLANCYS HAWX 2,008888526261-0-00000-0
NDS,Aventura,01/01/2006,BEN 10,879278320055-0-00000-0
PSP,Aventura,01/01/2006,BEN10 PROTECTOR OF EARTH,879278110069-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,MASS EFFECT 2 COLLECTORS EDITION,0100000000144-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,PZZLE QUEST CHALLEGE OF THE WARLORDS,879278110038-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,SPECTRAL SOULS,857823001048-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,GENERATION OF CHAOS,857823001017-0-00000-0
NDS,Rol/Estrategia/Destreza,01/01/2006,PHANTASY STAR,0100086670318-0-00000-0
WII,Aventura,11/05/2009,SUPER MONKEY BALL BANANA BLITZ,010086650013-0-00000-0
WII,Accion,01/01/2006,LEGEND OF THE DRAGON,855433001649-0-00000-0
PSV,Disparos,NO CONFIRMADO,CALL OF DUTY BLACK OPS DECLASSIFIED,047875843899-0-00000-0
WII,Disparos,01/01/2006,GHOST SQUAD,010086650099-0-00000-0
WII,Accion,01/01/2006,IRON MAN,010086650112-0-00000-0
WII,Disparos,27/03/2009,THE HOUSE OF THE DEAD OVERKILL,010086650204-0-00000-0
PSP,Deportes,01/01/2006,VIRTUA TENNIS WORLD TOUR,010086660029-0-00000-0
PSP,Deportes,01/01/2006,VIRTUA TENNIS,010086660128-0-00000-0
PSP,Vehiculos,01/01/2006,AFT BURN BLACK FALCON,010086660159-0-00000-0
PSP,Accion,01/01/2006,WILD ARMS,853466001087-0-00000-0
PSP,Accion,01/01/2006,IRON MAN,010086660234-0-00000-0
NDS,Rol/Estrategia/Destreza,01/01/2006,BLEACH BLADE OF FATE,010086670103-0-00000-0
PS3,Deportes,01/01/2006,SKI-DOO SNOWMOBILE,853333001455-0-00000-0
360,Disparos,NO CONFIRMADO,CONDEMNED,010086680010-0-00000-0
360,Vehiculos,01/01/2006,CHROMEHOUNDS,010086680041-0-00000-0
360,Aventura,NO CONFIRMADO,SONIC THE HEDGEHOG,010086680065-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,PHANTASY STAR UNIVERSE,010086680089-0-00000-0
NDS,Deportes,01/01/2006,TEXAS HOLDEM POKER PACK,831666900263-0-00000-0
360,Accion,NO CONFIRMADO,GOLDEN COMPASS,010086680140-0-00000-0
WII,Accion,01/01/2006,METAL SLUG,828862900029-0-00000-0
360,Accion,01/01/2006,VIKING BATTLE FOR ASGARD,010086680232-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,STORMRISE,010086680331-0-00000-0
PSP,Otros,01/01/2006,SNK ARCADE CLASSICS V1,828862300034-0-00000-0
360,Disparos,01/01/2006,ALIEN VS PREDATOR,010086680423-0-00000-0
PSP,Accion,01/01/2006,METAL SLUG,828862300010-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,ULTIMATE BLOCK PARTY,815315000092-0-00000-0
360,Accion,01/01/2006,BOMBERMAN ACT ZERO,083717300564-0-00000-0
PSP,Disparos,01/01/2006,GRADIUS COLLECTION,083717260165-0-00000-0
360,Peleas,01/01/2006,RUMBLE ROSES XX,083717300557-0-00000-0
PSP,Aventura,01/01/2006,BOMBERMAN LAND,083717260387-0-00000-0
360,Deportes,01/01/2006,WINNING ELEVEN PES 07,083717300601-0-00000-0
WII,Aventura,11/05/2009,BOMBERMAN LAND,083717400578-0-00000-0
360,Vehiculos,01/01/2006,FLATOUT ULTIMATE CARNAGE,085391187974-0-00000-0
WII,Vehiculos,01/01/2006,M&amp;M'S KART RACING,802068101374-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,STAR TREK LEGACY,093155120105-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,OBLIVION ELDER SCROLLS 4,093155120600-0-00000-0
360,Deportes,01/01/2006,BACKBREAKERS,812872013039-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,UNTOLD LEGENDS BROTHERHO,814582408020-0-00000-0
PS3,Accion,01/01/2006,THE ELDER SCROLLS IV EXP,093155127104-0-00000-0
PSP,Vehiculos,01/01/2006,FIELD COMMANDER,814582409324-0-00000-0
PSP,Peleas,01/01/2006,GUILTY GEAR JUDGEMENT,096427014423-0-00000-0
PS3,Rol/Estrategia/Destreza,01/01/2006,DARK KINGDOM,814582410825-0-00000-0
WII,Aventura,01/01/2006,WILD EARTH AFRICAN SAFARI,096427015116-0-00000-0
WII,Aventura,01/01/2006,A BOY AND HIS BLOB,096427016120-0-00000-0
PS3,Deportes,NO CONFIRMADO,NFL TOUR,014633154306-0-00000-0
NGC,Aventura,01/01/2006,WINNIE POOH,008888151142-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,YU GI OH GX 2 TAG FORCE,083717260356-0-00000-0
NGC,Disparos,01/01/2006,RAINBOW SIX LOCK DOWN,008888152057-0-00000-0
PS2,Aventura,01/01/2006,NARUTO UZUMAKI CHRON,722674100618-0-00000-0
PSP,Accion,01/01/2006,METAL GEAR SOLID PORT.OPS,083717260318-0-00000-0
PSP,Rol/Estrategia/Destreza,09/10/2007,METAL GEAR ACID 2,083717260103-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,RENGOKU,083717260042-0-00000-0
360,Vehiculos,01/01/2006,MOTO GP,752919550014-0-00000-0
PS3,Rol/Estrategia/Destreza,09/10/2007,FOLKLORE.,711719814726-0-00000-0
NDS,Aventura,01/01/2006,AME. DRAGON JAKE L,712725002565-0-00000-0
PSP,Disparos,01/01/2006,METAL GEAR ACID,083717260028-0-00000-0
NDS,Aventura,05/05/2007,PIRATES OF CARIBBEAN DEAD MAN CHEST,712725002671-0-00000-0
NDS,Aventura,01/01/2006,CHIKEN LITTLE ACE IN ACTI,712725002794-0-00000-0
PS2,Aventura,01/01/2006,KIM POSSIBLE WHATS SWITCH,712725002817-0-00000-0
NDS,Rol/Estrategia/Destreza,01/01/2006,YU-GI-OH WORLD CHAMP 08,083717241324-0-00000-0
NDS,Rol/Estrategia/Destreza,01/01/2006,YU GI OH GX 2 TAG FORCE,083717241201-0-00000-0
NDS,Accion,01/01/2006,CASTLEVANIA PORTRAIT OF R,083717241126-0-00000-0
NDS,Aventura,09/10/2007,HANNAH MONTANA DS,712725003135-0-00000-0
WII,Aventura,NO CONFIRMADO,CHICKEN LITTLE ACE IN ACT,712725003371-0-00000-0
NDS,Rol/Estrategia/Destreza,NO CONFIRMADO,HANNAH MONTANA MUSIC JAM,712725003616-0-00000-0
NDS,Aventura,01/01/2006,CASTLEVANIA DAWN OF SOROW,083717241065-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,RENGOKU 2,083717260219-0-00000-0
WII,Simulacion,01/01/2006,HANNAH M. SPOTLIGHT W.T,712725003937-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,YU GI OH GX TAG FORCE,083717260240-0-00000-0
PSP,Disparos,01/01/2006,CODED ARMS CONTAGION,083717260295-0-00000-0
WII,Musical,01/01/2006,HIGH SCHOOL MUSICAL SING,712725004224-0-00000-0
WII,Aventura,NO CONFIRMADO,CHRONICLES OF NARNIA: PRINCE CASPIAN,712725004729-0-00000-0
WII,Musical,01/01/2006,SING IT,712725005658-0-00000-0
NDS,Aventura,13/11/2009,THE PRINCESS &amp; THE FROG,712725016234-0-00000-0
360,Musical,01/01/2006,DISNEY SINGIT - HIGHSCHOOLMUSI,712725017389-0-00000-0
360,Disparos,01/01/2006,TUROK,712725002497-0-00000-0
PS3,Disparos,NO CONFIRMADO,TUROK,712725002480-0-00000-0
NDS,Disparos,01/01/2006,CALL OF DUTY 5 WAW,047875834491-0-00000-0
WII,Deportes,01/01/2006,EA SPORT ACTIVE MORE WORK,14633194098-0-00000-0
WII,Accion,NO CONFIRMADO,FANTASTIC 4 RISE OF S.S,710425341335-0-00000-0
PS3,Deportes,01/01/2006,MLB 09 THE SHOW.,711719818021-0-00000-0
PS3,Disparos,01/01/2006,RESISTANCE 2 COLLECTORS EDITION.,711719819028-0-00000-0
PSP,Deportes,01/01/2006,GRETZKY NHL,711719860426-0-00000-0
PSP,Deportes,01/01/2006,MLB,711719860525-0-00000-0
WII,Accion,NO CONFIRMADO,MANHUNT 2,710425341632-0-00000-0
PSP,Deportes,NO CONFIRMADO,HOT SHOTS GOLF OPEN TEE,711719861423-0-00000-0
PSP,Accion,01/01/2006,GANGS OF LONDON,711719861720-0-00000-0
WII,Deportes,01/01/2006,THE BIGS,710425341786-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,APE ESCAPE ACADEMY,711719861928-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,KINGDOM OF PARADISE,711719862321-0-00000-0
WII,Deportes,NO CONFIRMADO,TOP SPIN 3,710425343728-0-00000-0
PS3,Deportes,01/01/2006,THE BIGS,710425371752-0-00000-0
PS3,Rol/Estrategia/Destreza,01/01/2006,SID MEIERS CIVILIZATION REVOLUTION,710425372407-0-00000-0
PS3,Deportes,NO CONFIRMADO,TOP SPIN 3,710425373718-0-00000-0
PSP,Vehiculos,01/01/2006,PURSUIT FORCE,711719864028-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,LEMMINGS,711719864721-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,PATAPON,711719871125-0-00000-0
360,Deportes,01/01/2006,NHL 2K7,710425390555-0-00000-0
360,Accion,01/01/2006,FANTASTIC 4 RISE OF SILVER SURFER,710425391316-0-00000-0
360,Deportes,01/01/2006,THE BIGS 2,710425395963-0-00000-0
PSP,Vehiculos,01/01/2006,WIPEOUT PULSE,711719871224-0-00000-0
360,Deportes,01/01/2006,NBA 2K10,710425396373-0-00000-0
PSP,Deportes,01/01/2006,THE BIGS 2,710425335945-0-00000-0
PS3,Otros,NO CONFIRMADO,PIRATES OF CARIBBEAN 3,712725002169-0-00000-0
PS3,Vehiculos,01/01/2006,RIDGE RACER 7,722674110006-0-00000-0
PSP,Accion,01/01/2006,THE WARRIORS,710425330520-0-00000-0
NDS,Rol/Estrategia/Destreza,01/01/2006,FINAL FANTASY C.C.EC. O.T,4988601005937-0-00000-0
PS3,Vehiculos,01/01/2006,GUNDAM CROSSFIRE,722674110020-0-00000-0
360,Vehiculos,01/01/2006,TEST DRIVE,742725266919-0-00000-0
PSP,Disparos,01/01/2006,BATTLE ZONE,742725271869-0-00000-0
PS3,Accion,01/01/2006,VAMPIRE RAIN ALTERED SPECIES,5060050946210-0-00000-0
360,Accion,01/01/2006,BULLET WITCH,742725275164-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,DUNGEONS &amp; DRAGONS TACTICS,742725275256-0-00000-0
PSP,Peleas,01/01/2006,DRGN BALL Z SHN BUDO. A.R.,742725275348-0-00000-0
PS3,Accion,06/11/2009,BLADESTORM HUNDRED YEARS,5060073303304-0-00000-0
360,Rol/Estrategia/Destreza,05/02/2013,TWO WORLDS,612561700048-0-00000-0
WII,Accion,01/01/2006,GODZILLA UNLEASHED,742725275539-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,TWO WORLD COLLECTORS,612561700055-0-00000-0
WII,Accion,01/01/2006,OUT OF THE CHUTE,650008500356-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,PINBALL HALL OF FAME,650008999051-0-00000-0
